"Country <span class=""triangle"">▲</span>","Rank <span class=""triangle"">▲</span>","Index Score <span class=""triangle"">▲</span>","Change since 2008 <span class=""triangle"">▲</span>","Index Groupings <span class=""triangle"">▲</span>","Supply <span class=""triangle"">▲</span>","Demand <span class=""triangle"">▲</span>","Institutional <span class=""triangle"">▲</span>","Innovation <span class=""triangle"">▲</span>"
Singapore,1,56.21,4.24,Stand Out,64.40,49.08,37.23,74.11
Sweden,2,55.23,0.00,Stand Out,60.51,54.16,35.61,70.66
Hong Kong,3,53.52,2.32,Stand Out,66.15,45.81,32.27,69.88
United Kingdom,4,53.41,-0.85,Stall Out,62.83,57.12,31.99,61.70
Switzerland,5,53.32,1.16,Stand Out,66.58,50.61,32.03,64.05
United States,6,51.79,0.48,Stand Out,58.17,49.79,30.39,68.80
Finland,7,51.49,-3.28,Stall Out,67.28,52.36,32.75,53.59
Canada,8,51.17,-0.01,Stand Out,56.15,48.54,33.14,66.86
South Korea,9,50.63,0.67,Stand Out,59.68,52.41,26.02,64.39
Netherlands,10,49.86,-6.91,Stall Out,70.16,53.56,31.22,44.51
Denmark,11,49.03,-2.20,Stall Out,57.05,49.35,30.76,58.98
Australia,12,48.14,-1.71,Stall Out,51.51,50.01,29.71,61.34
Germany,13,47.18,-1.28,Stall Out,60.51,43.61,27.38,57.22
Norway,14,47.04,-1.95,Stall Out,52.51,53.72,33.31,48.61
New Zealand,15,46.26,1.76,Stand Out,46.72,46.41,32.77,59.13
Ireland,16,45.81,1.00,Stand Out,43.76,43.96,27.57,67.97
Japan,17,45.71,-1.47,Stall Out,57.15,38.85,27.79,59.05
Austria,18,44.13,-1.55,Stall Out,54.19,44.59,26.34,51.39
France,19,44.07,-2.64,Stall Out,53.81,45.93,27.32,49.24
Belgium,20,43.49,-2.92,Stall Out,57.38,42.49,26.00,48.11
United Arab Emirates,21,43.29,0.72,Stand Out,56.76,37.89,24.44,54.08
Israel,22,39.69,3.01,Stand Out,36.42,40.15,24.57,57.60
Malaysia,23,39.43,7.50,Break Out,40.06,26.45,29.11,62.10
Estonia,24,39.36,1.76,Stand Out,39.60,42.87,30.87,44.10
Spain,25,37.29,-2.32,Watch Out,50.66,36.80,20.99,40.71
Portugal,26,33.41,-1.60,Watch Out,44.13,33.11,23.71,32.67
Chile,27,33.25,5.37,Break Out,34.83,27.85,26.59,43.75
Slovenia,28,33.17,-1.52,Watch Out,32.94,36.84,19.74,43.14
China,29,32.20,8.39,Break Out,26.08,29.14,16.16,57.43
Turkey,30,31.95,3.01,Watch Out,32.60,27.65,19.43,48.11
Czech Republic,31,31.87,-5.61,Stall Out,44.85,37.29,17.83,27.53
Saudi Arabia,32,31.87,1.57,Watch Out,33.94,29.75,23.07,40.71
South Africa,33,30.06,6.07,Break Out,33.16,20.87,18.88,47.34
Brazil,34,29.86,4.73,Break Out,21.73,26.31,18.44,52.95
Thailand,35,28.42,6.59,Break Out,25.79,21.92,15.27,50.69
Slovak Republic,36,28.27,2.41,Watch Out,27.31,34.85,15.91,35.00
Mexico,37,27.23,5.88,Break Out,22.53,18.87,15.91,51.61
Italy,38,27.12,0.94,Watch Out,26.38,31.19,11.65,39.27
Poland,39,26.73,0.51,Watch Out,23.09,30.50,15.46,37.86
Russia,40,24.65,3.04,Watch Out,17.56,26.89,9.82,44.36
Greece,41,24.08,2.67,Watch Out,23.76,29.84,10.82,31.91
India,42,23.17,5.25,Watch Out,17.73,5.89,16.99,52.08
Colombia,43,22.97,5.85,Break Out,14.15,15.16,19.32,43.25
Hungary,44,21.92,-2.36,Watch Out,24.97,26.93,16.63,19.17
Vietnam,45,20.29,5.54,Watch Out,14.63,11.19,11.78,43.58
Indonesia,46,19.85,3.01,Watch Out,19.50,11.63,15.21,33.07
Philippines,47,19.38,5.37,Watch Out,13.37,12.69,13.27,38.18
Egypt,48,17.28,-1.22,Watch Out,15.34,15.34,8.95,29.51
Kenya,49,16.98,0.37,Watch Out,11.88,8.98,14.11,32.97
Nigeria,50,13.77,1.62,Watch Out,7.26,6.78,12.80,28.25
